objectId,admin3_code,admin2_code,ACL,admin1_code,name,dem,latitude,population,updatedAt,alternatenames,longitude,feature_class,modification_date,cc2,country_code,feature_code,geonameid,timezone,createdAt,asciiname,elevation
NjXu66ZTbh,80903,809,null,9,Monchique,439,37.31775,5421,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Monchique,-8.55529,P,2014-04-06,,PT,PPLA2,2266268,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Monchique,
9HUAYEWiON,101608,1016,null,13,Mira,255,39.54315,3775,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Mira,Mira d'Aire,Mira d’Aire",-8.71505,P,2018-05-22,,PT,PPL,2266380,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Mira,
5kHqZ1iBXi,110107,1101,null,14,Meca,110,39.08178,1719,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),,-9.03459,P,2018-06-26,,PT,PPL,2266523,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Meca,
t955zu9s4F,20902,209,null,3,Minas de São Domingos,158,37.67322,2500,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Mina de Sao Domingos,Mina de São Domingos,Minas de Sao Domingos,Minas de São Domingos,Sao Domingos,São Domingos",-7.49765,P,2018-03-15,,PT,PPL,2266389,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Minas de Sao Domingos,
jX6of4UeYE,110911,1109,null,14,Milharado,211,38.94732,5935,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Milharado,-9.19914,P,2018-07-04,,PT,PPL,2266411,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Milharado,
LjpRaUiCoe,81102,811,null,9,Mexilhoeira Grande,40,37.15858,4029,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Mexilhoeira,Mexilhoeira Grande",-8.61487,P,2017-11-07,,PT,PPL,2266425,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Mexilhoeira Grande,
2HU3oDIHdq,20904,209,null,3,Mértola,57,37.64304,7274,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Mertola,Mértola,martlt,mei er tu la,merutora,Мертола,مارتلة,メルトラ,梅爾圖拉",-7.6611,P,2018-03-15,,PT,PPLA2,2266442,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Mertola,
srYPuzgai8,121002,1210,null,16,Marvão,825,39.39377,3739,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Marvan,Марван",-7.37663,P,2018-04-30,,PT,PPL,2266633,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Marvao,
jkPlY1EkG6,111002,1110,null,14,Massamá,142,38.75279,28112,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Massama,Massamá",-9.2811,P,2018-02-14,,PT,PPL,2266621,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Massama,
zlHcVA3iJj,111112,1111,null,14,Mem Martins,170,38.79443,9000,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),"Mem Martim,Mem Martins",-9.34284,P,2018-05-18,,PT,PPL,2266464,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Mem Martins,
c7RofAWTk2,101001,1010,null,13,Marinha Grande,91,39.74769,28916,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Marinha Grande,-8.93228,P,2018-05-01,,PT,PPLA2,2266703,Europe/Lisbon,Wed Nov 18 2020 14:26:52 GMT+0000 (Hora padrão da Europa Ocidental),Marinha Grande,
